Location,Country,Year,Month,Weekday,Operator,Route,Type,Total_Aboard,Total_Fatalities,Ground,Total_Survivors,Total_Deaths,Total_Involved,Summary
"Fort Myer, Virginia",USA,1908,Sep,Thursday,Military - U.S. Army,Demonstration,Wright Flyer III,2.0,1.0,0.0,1.0,1.0,2.0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later."
"Juvisy-sur-Orge, France",France,1909,Sep,Tuesday,No Data,Air show,Wright Byplane,1.0,1.0,0.0,0.0,1.0,1.0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show."
"Atlantic City, New Jersey",USA,1912,Jul,Friday,Military - U.S. Navy,Test flight,Dirigible,5.0,5.0,0.0,0.0,5.0,5.0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."
"Victoria, British Columbia, Canada",Canada,1913,Aug,Wednesday,Private,No Data,Curtiss seaplane,1.0,1.0,0.0,0.0,1.0,1.0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed."
Over the North Sea,No Data,1913,Sep,Tuesday,Military - German Navy,No Data,Zeppelin L-1 (airship),20.0,14.0,0.0,6.0,14.0,20.0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
"Near Johannisthal, Germany",Germany,1913,Oct,Friday,Military - German Navy,No Data,Zeppelin L-2 (airship),28.0,28.0,0.0,0.0,28.0,28.0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..German Navy's Zeppelin airships L-4 and L-5 were blown out to sea in February 1915, never to be seen again."
"Tienen, Belgium",Belgium,1915,Mar,Friday,Military - German Navy,No Data,Zeppelin L-8 (airship),41.0,17.0,0.0,24.0,17.0,41.0,Crashed into trees while attempting to land after being shot down by British and French aircraft.
"Off Cuxhaven, Germany",Germany,1915,Sep,Friday,Military - German Navy,No Data,Zeppelin L-10 (airship),19.0,19.0,0.0,0.0,19.0,19.0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning."
"Near Jambol, Bulgeria",Bulgaria,1916,Jul,Friday,Military - German Army,No Data,Schutte-Lanz S-L-10 (airship),20.0,20.0,0.0,0.0,20.0,20.0,"Crashed near the Black Sea, cause unknown."
"Billericay, England",England,1916,Sep,Sunday,Military - German Navy,No Data,Zeppelin L-32 (airship),22.0,22.0,0.0,0.0,22.0,22.0,Shot down by British aircraft crashing in flames.
"Potters Bar, England",England,1916,Oct,Sunday,Military - German Navy,No Data,Zeppelin L-31 (airship),19.0,19.0,0.0,0.0,19.0,19.0,Shot down in flames by the British 39th Home Defence Squadron.
"Mainz, Germany",Germany,1916,Nov,Tuesday,Military - German Army,No Data,Super Zeppelin (airship),28.0,27.0,0.0,1.0,27.0,28.0,Crashed in a storm.
"Off West Hartlepool, England",England,1916,Nov,Tuesday,Military - German Navy,No Data,Zeppelin L-34 (airship),20.0,20.0,0.0,0.0,20.0,20.0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
"Near Gent, Belgium",Belgium,1917,Mar,Sunday,Military - German Army,No Data,Airship,20.0,20.0,0.0,0.0,20.0,20.0,Caught fire and crashed.
Off Northern Germany,No Data,1917,Mar,Friday,Military - German Navy,No Data,Schutte-Lanz S-L-9 (airship),23.0,23.0,0.0,0.0,23.0,23.0,Struck by lightning and crashed into the Baltic Sea.
"Near Texel Island, North Sea",North Sea,1917,May,Monday,Military - German Navy,No Data,Zeppelin L-22 (airship),21.0,21.0,0.0,0.0,21.0,21.0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire."
"Off Vlieland Island, North Sea",North Sea,1917,Jun,Thursday,Military - German Navy,No Data,Zeppelin L-43 (airship),24.0,24.0,0.0,0.0,24.0,24.0,Shot down by British aircraft.
"Near Yarmouth, England",England,1917,Jun,Sunday,No Data,No Data,Zepplin L-48 (air ship),16.0,14.0,0.0,2.0,14.0,16.0,Shot down by aircraft.
Off western Denmark,No Data,1917,Aug,Tuesday,Military - German Navy,No Data,Zeppelin L-23 (airship),18.0,18.0,0.0,0.0,18.0,18.0,Shot down by British aircraft.
"Near Luneville, France",France,1917,Oct,Saturday,Military - German Navy,No Data,Zeppelin L-44 (airship),18.0,18.0,0.0,0.0,18.0,18.0,Shot down by French anti-aircraft fire.
Over the Mediterranean,No Data,1918,Apr,Sunday,Military - German Navy,No Data,Zeppelin L-59 (airship),23.0,23.0,0.0,0.0,23.0,23.0,Exploded and crashed into the sea off the southern coast of Italy.
"Off Helgoland Island, Germany",Germany,1918,Aug,Monday,Military - German Navy,No Data,Zeppelin L-70 (airship),22.0,22.0,0.0,0.0,22.0,22.0,"Shot down by British aircraft crashing from a height of 17,000 ft."
"Ameland Island, North Sea",North Sea,1918,Aug,Sunday,Military - German Navy,No Data,Zeppelin L-53 (airship),19.0,19.0,0.0,0.0,19.0,19.0,Shot down by british aircraft.
