Year,Is_Military,Passenger
1908,1,0
1912,1,0
1913,2,1
1915,2,0
1916,5,0
1917,6,0
1918,3,1
1919,0,9
1920,0,18
1921,2,10
1922,1,10
1923,1,12
1924,0,7
1925,1,10
1926,0,12
1927,0,20
1928,0,36
1929,1,38
1930,1,25
1931,0,33
1932,0,28
1933,1,27
1934,0,31
1935,1,40
1936,1,49
1937,0,36
1938,1,55
1939,1,29
1940,1,24
1941,2,25
1942,9,29
1943,16,27
1944,20,36
1945,47,28
1946,26,61
1947,13,69
1948,3,75
1949,7,60
1950,14,57
1951,14,61
1952,16,49
1953,9,61
1954,11,50
1955,7,50
1956,7,46
1957,7,59
1958,15,53
1959,1,65
1960,11,59
1961,9,50
1962,11,67
1963,8,55
1964,10,49
1965,13,51
1966,8,51
1967,7,51
1968,11,54
1969,6,63
1970,11,62
1971,8,50
1972,9,68
1973,3,61
1974,3,55
1975,7,44
1976,6,51
1977,12,51
1978,3,48
1979,3,57
1980,10,35
1981,12,38
1982,12,42
1983,8,40
1984,9,39
1985,10,46
1986,13,38
1987,10,44
1988,11,53
1989,13,70
1990,11,50
1991,11,58
1992,13,53
1993,7,49
1994,9,65
1995,10,50
1996,13,55
1997,10,46
1998,8,51
1999,8,54
2000,11,52
2001,7,51
2002,12,43
2003,8,54
2004,4,42
2005,8,37
2006,12,26
2007,5,38
2008,7,44
2009,7,39
2010,7,33
2011,3,32
2012,7,19
2013,2,23
2014,3,20
2015,3,15
2016,1,22
2017,1,14
2018,4,15
2019,2,11
2020,1,7
2021,3,4
